Column1;;;;;;;;;;
"Look: the beer pours a reddish-brown color with a nice light-brown head. 	Smell: Heavy roasted malts, licorice, toffee	Taste: Roasted malts, toffee, medicinal, some light licorice. Aftertaste is sweet, dry and aromatic	Mouthfeel: Medium body, soft carbonation. 	Overall: Nice brew";;;;;;;;;;
"6.5% ABV per the label. 		Pours a crystal clear dark brown with a 2 inch foamy tan head that settles to a film on the top of the beer. Thin clumps and streaks of lace cling to the glass on the drink down. Smell is all about the smoke but in a more subtle was than the Marzen: smoked meat, smoked cheese, campfire, etc. I am getting a slight whiff of malt if I search for it. Taste is also of the aforementioned smoked items with a nice sweet malt that supports everything. The smoke flavors aren't as powerful in the aftertaste compared to the Marzen, leaving more of a sweet and subtle roast flavor. This beer has a nice mouthfeel with a solid body and a crisp amount of carbonation. Overall, this is a very good rauchbier and hands down my favorite of the Schlenkerla beers I have tried thus far.";;;;;;;;;;
"Big thanks to Skye1024! 		I'm not sure of the vintage, but I am sure this bottle has held up just fine. Smell is big grains, heavily roasted malt, candi sugar, definitely getting some chocolate too. There is also still some hop presence here, surprisingly.		Taste opens up into smoked and roasted malts, then sort of rolls into molasses, piney hop bite, and lingering peppery rye. Very grainy and nutty. Carbonation is quite high. Despite so many ""dark"" flavors, I think a lower amount of carbonation would weigh this baby down. 		Quite enjoyable, but its hard to put a finger on whats really going on here. I guess the only style that can sum this up is the generic term ""rye beer"". Its an excellent one for sure.";;;;;;;;;;
"Golden yellow, with a nice fluffy white head that leaves some great lacing. Filmy after a while, which is a shame. Otherwise very nice looking.		Light grain organics on the nose, with a pleasant grassy freshness. Even a light hint of smooth sweetness, perhaps vanilla, which is odd, but not unpleasant. Not huge, but not bad.		Pretty tame palate, with some fluctuating hops bitterness that never reaches a crescendo. Some malty grain notes, but not huge. The end is a little yeasty which leaves a gritty finish in the mouth. Otherwise, it's a decent, if uninteresting flavour profile.		Hey, it's a drinkable beer. I just wonder if this is simply a ""plonk some branding on the beer"" beer. Relatively light, and while not terrible exciting, it goes down well enough.";;;;;;;;;;
"A: Nice white, foamy head with steady retention and good lacing		S: A combination of lemon/citrus and an eathy hay quality; pleasant but quite subtle		T: A smoky meatiness is most prevalent and that blends nicely with the earthy guality and subtle citrus from the hops		F: Very even balanced		D: A great beer for grilling; this is a nice, slightly smokey lager";;;;;;;;;;
"A_Pitch black with a thick dark brown head that quickly dissipates. Thick lacing.		S_Smells roasty with chocolate,espresso,and alcohol.		T_Roasted malt and dark fruits up front. Bitter dark chocolate and espresso round it out. Very tasty. Alcohol very well hidden with a gentle warming effect.		M_Very thick and very,very cream. Usually dont get too worked up about mouthfeel but this is great.		D_Buy a case.";;;;;;;;;;
"Poured from a 12 ounce bottle in to my favorite Stone Ruination pint glass.		Pours bitch black that cannot be seen through even when it is held directly up to a light source. No head to speak of, just a thin dark brown lacing at the top.		Very strong coffee beans up front. I would even say that it smells more along the lines of espresso beans. Dark chocolate, and alcohol phenols stand out significantly as well. I can detect breaded malts of course the bourbon barreled aroma in the undertone. Doesn't stand out as much as I thought it would, but it is still a great smelling brew.		The taste falls right in line with the nose. Pungent coffee bean flavors will attack the pallet right away. Dark chocolate, vanilla, and breaded malts come through as well. The bourbon bourbon barrel flavor makes the alcohol phenols stand out almost as significantly as the coffee bean flavors. 		Mouthfeel is full-bodied, smooth and complex. There's a lot going on with this beer, enough so that I couldn't completely figure it out.		An excellent offering by Founders. I was expecting this beer to be highly overrated, but I feel that it lives up to the hype.";;;;;;;;;;
"Looks good, strong head, a little lighter colored head then expected, khaki.		Can smell the oatmeal, pleasent, doesn't smell hot, a light coffee note that is quality, malts on the roasty end of the spectrum.		great balance of the sweet and roasted flavors here, at least in my opinion, which tends to go more roasty then most people do i find. There is just a hint of harsh flavors from the roasty notes and carbination and alcohol, but for me it's very appealing, in the same way a cup of black coffee or well done steak is, just a light brash note that adds complexity and depth. Semi-sweet baking chocolate has a similar impression with me.		 The Oatmeal adds nicely to the flavor and to the mouthfeel where it does most of it's work, but while this comes off a bit thinner....i'll say 4/10 overall for the style...the carbination is up and the oatmeal kick in to keep it an enjoyable pallette experience.";;;;;;;;;;
"On-tap 1/27/2010 at Track 84 in Warwick, RI, served in a tulip glass.		A: The beer is a light reddish brown color, with a short off-white head that fades slowly and leaves a thick lace on the glass.		S: The aroma is mostly of smoked meat and caramelized malts with a faint touch of hops.		T: The taste is very smoky as you would expect with a strong meaty flavor that isn't overdone. Then a mild caramel sweetness comes in with a mild but complementary hops presence. The malt character is hearty and the smokiness tones down a bit allowing everything to balance more after it sits for a few minutes. The after-taste is slightly smoky and slightly sweet.		M: Crisp and smooth, medium body, medium carbonation, finish is slightly sticky.		D: Tasty, goes down easily, not too filling, good kick, good representation of style, yet another nice smoked beer from this brewer to drink for a while.";;;;;;;;;;
A- Appearance poured a nice amber with a full white head that fell quickly leaving lacing down the glass.;;S- Amarillo hops citrus ;;T- Wonderful balance of hops and belgian malt exceptional taste;;M- Smooth and crisp very clean finish of hops and citrus.;;D- Could have more than one or two of these.;;
"A: A very cloudy orange pour. Decent white head with just a hint of orange in it. Retention is so-so and almost no lacing.		S: Very subtle smell. Just a touch of pumpkin and nutmeg. Not much else that I can discern.		T: Nutmeg, cinnamon, allspice. Maybe just a hint of pumpkin. Sweet at the start and in the middle and just a brief hit of some earthy bitterness in the aftertaste. Pumpkin spice flavor is very long lasting, sticks to your mouth. All flavors are pretty mild as this is a low ABV beer.		M: Very thin but not watery at least. All smells and flavors are pretty mild. A good departure from the high ABV pumpkin monsters (Pumking for example). 		O: Interesting take on a pumpkin ale. Once of the mildest I've ever had, it's almost hard to discern the flavors sometimes. Wish it was a little stronger but it accomplishes what it came to do. Well balanced spices with the pumpkin and nothing is too dominating.";;;;;;;;;;
"appearance: dark red complexion and looked liked a cherry fruit beer as expected		smell: tart cherries		taste: low bitterness, sublt sour and nice cherry flavor. A well done cherry beer. No tmuch of a sour as expected though.		mouthfeel: light bodied		drinkability: well done fruit beer.";;;;;;;;;;
"Sampled in November		A-Black,opaque appearance with a tan head. Good head retention. 		S-Initial coffee aroma followed by some roast malt. I picked up a hint of vanilla. No hop aroma.		T-Initially malty sweet, with a big up-front java flavor. Malt backbone comes through along with moderate bitterness. No hop flavor.		M-Medium body with low-med carbonation. Minimal warming.		D-Great beer and smooth...A bit too much coffee for my taste, but still a good drinker...";;;;;;;;;;
"I'm always amazed whenever I go to my local small-town supermarket and find this beer getting shelf space. My local market only carries about 15-20 brands of beer, macros included, but it's a lucky stroke for me that the buyer is knowledgeable enough to give this fine beer it's props, even in the Texas boonies.		This beer bills itself as the daddy of all pilsners, and the research says that it's pretty much a true statement. Although I'm not impressed with their website, it does provide some rudimentary historical background on how the beer was developed. 		The beer itself is wonderful. It indeed has all of the traditional characteristics that define a great pilsner beer. It pours crisp and clean, leaving a wealth of head that sticks to the glass all the way down. It has a good, hoppy aroma with no trace of bitterness. It has a fresh taste, smooth and relaxed. Like most pilsners, it doesn't have a ton of mouthpresence, but that's entirely consistent with the style. It finishes well, although a bit dry for my tastes. This particular bottle left with me with a slightly bitter aftertaste, but I don't know how long this sixpack was on the shelf, so I might chalk that up to age.		I'm not sold that this is the greatest pilsner on Earth, but it is one helluva good beer. It's one of the classic beers for it's type, and I recommend that you grab one if you haven't tried it before. Lay a couple of these down with some marinated chicken or some nice pork chops. Your guests will thank you.";;;;;;;;;;
"Poured from the bottle into my large Dogfish head snifter, fresh as can be, patiently reserved in line for a simple four pack to be consumed and reviewed. This is my milestone, and my 300th review on Beer Advocate. Much thanks to the brothers. Onward...		Off the visible pour it is borderline motor oil black out of the bottle but not quite... Head is very solid and cocoa light brown I would say with a good solid retention. After falling for LOTS of time (having consumed two of these in one sitting) it maintains a collar that will not go away. The body is my personal favorite walnut brown, but just wants to hint... I mean just hint at black midnight. Based on all that... she looks great. Decent lacing giving up to leopardy like spotting. 		Bouquet is jarring for this style and a big surprise considering the abv in front. DRY husky grain, faint dried out wood, not a wood smell that I could pinpoint (regardless that they come from American oak bourbon barrels). The sense is something tannic is coming even though you DO NOT smell tannins. It strangely (dare I say it) feels like fresh cut timber or assembled oak furniture. Very dense and full of body. Some simple cheap store bought coffee also. Extremely unique smelling and balance.. really nice. When I smell these aromas, they feel like I am tasting and drinking this beverage as it is. Cellar like smell with a dampness that isn't ruined, musty, no not BAD.. just down there.... DANK DANK DANK!!!! Chocolate milk bent on the nose. No sense of heat or big booze coming for this large ABV.		Taste is well, stealing something from the vocabulary.. exceptional when factoring the mouthfeel. Almost silky but SOoooo... easy palatable and borderline wet in feel. Big milk chocolate front but not turning into a sweet chocolate bomb. Sweetness hints, faint standard coffee, but extremely balanced profile. Slight tannins in the mouth pushing forward and puckering, it is dry I will give it that but tolerable. What is not here for me on taste just for the record is tobacco and fruit. Vanilla for me personally .... creeps up unknowingly then takes over. It's not apparent at first but then makes it's presence known latter while drinking. This is not a beer that feels particularly like whiskey either. It's not bourbon feeling at all (I have a bias being a bourbon drinker) but that is a good thing this is truly a great beer, and the highly masked abv boozy quality that you would think came from this is completely hidden. This should be considered beer forward and not whiskey. The chocolate and vanilla mix gets into almost ice cream territory, with much fun. This could pass easily as a dessert beer for sure but works also on its own.. So stupidly easy drinking, creamy, almost dark chocolate, balanced soft tannins, woody, FROTHY, too much to desire.		Overall some serious intense craft and quality while drinking this. This is magic right here, and some great feel. Just for the record the high abv on this is dangerous cause I feel like I could just pound these back like no tomorrow. Part of that stupid drinkability, besides all this sophistication and time put into it, is that it feels like a kids morning chocolate breakfast drink, such as Carnation Instant Breakfast drink. Does this beer taste like bourbon... NO. Emphatically no giving way to a good magic that is masking the alcohol.. It is just a great tasting beer and very unique and done superbly.";;;;;;;;;;
"Appearance: Pours a clear copper color with a bubbly ecru head that retains well and leaves a few shards of lacing		Smell: Grainy malt aroma that is slightly nutty with a dash of butter		Taste: Immediately strikes the tongue with a fruity (plums and berries) and nutty malt taste; shortly thereafter, the grainy malt flavors that were in the aroma appear as well; after the swallow, the RIngwood yeast imparts its characteristic touch of diacetyl; the finish was sour and a touch rough but the earthy English hops added a nice touch		Mouthfeel: Medium bodied with moderate carbonation; slightly slick from the diacetyl		Drinkability: Complex and interesting and, while it would not rank among my favorites, it is unusual enough to seek out; congrats to the brewery for creating this singular sipper		Thanks, palma, for the opportunity";;;;;;;;;;
"On tap at Capone's on 4/17/10. 		A - Jet black with the slightest hint of deep burgundy around the bottom edges and a slim yet creamy burnt mocha head that reduced to a delicate web of lacing.		S - Complex RIS nose, though not as overwhelming on the coffee or chocolate, which is typical of the style. Instead, the olfactory is greeted with licorice and molasses notes, oatmeal, leather and earthy hop notes. A waft of alcohol also pushes its way through.		T - Neither coffee nor chocolate really stand out in the flavor, either. However, there is a hint of tangy dark fruit, sweet tobacco and licorice notes, and a subtle alcohol presence. Finishes with a hint of earthy hops and semi-sweet chocolate, which add a nice dose of bitterness to the mix.		M - Full-bodied with a smooth, oily yet chewy texture. Plenty of alcohol warmth on the palate, although it doesn't overwhelm at all. finishes with moderate hop bitterness on the palate. 		D - B.O.R.I.S. is definitely one of the best of its kind in America, no doubt about it. Goes down quite easily for being an almost 10% monster! However, I will say that I enjoyed this slightly more from the bottle than on tap, although I never reviewed the bottle version. I'll have to get on that... pronto!";;;;;;;;;;
"Gambrinus, ABV: 5.0%.	500 ml bottle, 15.90 SEK at Systembolaget.		I had this beer once about a year ago. At the time I loved Czech Pilseners and I thought this was one of the best I've ever had. Let's see if it's as good as I remember!		A: It pours golden (with hints of copper), with a thick, white, foamy head. Lovely.		S: The aroma is malty with notes of butterscotch, bread and citrus. It doesn't smell like hay and brewery in the same way as an Urquell, but my feeling is definitely Czech.		T: Soft, very balanced, tastes of toffee and bread. Medium bitterness (and a body to match), nothing is extreme here, just pleasant. A very elegant, and robust lager.		M: Real smooth. Filling, yet it's very drinkable, and a somewhat dry finish.		O: I sure have widened my beer taste over the year, but a great Czech Pils is never wrong. This is still one of my favourites - it doesn't get much better for this kind of money. I'll drink this on its own, or with meats, sausages, or a sturdy sandwich.";;;;;;;;;;
"16.9 oz brown bottle with the foil on the neck and a nice label. Clear freshness dating wich is always nice to see. 		The beer pours a very dark brown with a tan head.		The nose is of roasted malt, smoke and bit of chocolate. 		The initial taste is of roasted malts and coffee. The beer also has a bit of dark bread taste to it. A bit of earthiness emerges later. Apple flavor immerges even later. Lots going on for lager! Only downside is a bit of sourness that creeps in and it seems out of place. 		The mouth is decent and the carbonation is a bit subdued which works well with this beer. Easy enough beer to drink, interesting enough to be seasonable and would be good to pair with some sharp cheeses. 		This is much better than the other beer (the Pilsner) I had from this brewery. $1.09 from Sals in Elmhurst, IL.";;;;;;;;;;
"Brewed with Pale, Munich, and Belgian Aromatic malts; Centennial, Cascade, and Spaltz hops.	OG=1.048, ABV=4.7%, 22 IBU.		Drank on tap at Pikes BC in Seattle, WA.		Slightly hazy orange brew forms a thin white head with OK retention and lacing. Aroma is very crisp and fresh with citric hops and well-balanced amount of malts. Taste is much the same...fresh, bright citric hops, smooth malts, a lingering honey-like sweetness and assertively fruity. The finish is smooth with caramel notes and an even bitterness throughout. Real nicely done, easy to drink. Clean, crisp wet mouthfeel with a medium-light body.";;;;;;;;;;
"Served on tap at Growlers in Gaithersburg, MD. Beer is black to dark brown. The head is small brown bubbles that form at the edge of the glass, leaving minimal lacing on the sides of the vessel. Cannot tell the carbonation due to the opaque color of the beer, it looks good.		Aroma is dominated by roast, no a lot of hop character despite the description of the beer.		Flavor is nice. Some sweetness, roast in the back of the mouth, finishes completely. Mouthfeel is medium body and drinkability is high. I would order this beer again. The description of the beer from the brewer, 		""A very dark, almost black, top fermented brew made with highly roasted chocolate and black malts. This stout is full bodied and lightly hopped.""		I didn't get much in the way of hop character and I would classify this as medium bodied, but overall a good beer and a decent stout. Good job.";;;;;;;;;;
"A - Pours a hazy light brown with a finger of quickly dissipating off white head.		S - Aroma is mostly grain (wheat primarily), a faint bit of coriander and pepper. Overall pretty nice.		T - Taste is quite nice. Yeast, wheat, a bit of citrus and some spice. A really bright tasting Belgian ale.		M - Good mouthfeel, light and crisp.		D - This is a lighter tasting, very refreshing beer; highly drinkable. Enjoyed this more than I expected to.";;;;;;;;;;
"A huge thanks to JohnQVegas for hooking me up with a number of these. Going to put a couple down, but just have to tear into one now. 		Off a medium pour a bubbly tan head grows to two-fingers, and perfectly fills the SA specialty glass. As the bubbles pop furious the froth fades and leaves some random curly spines of lace behind. Jet black in color with no light penetration, although some slight ruby hues are barely discernible at the very edge. 		Aroma involves a good mix of sweet and smoky notes with black licorice, cherry wood, a slight earthy mustiness, some cotton candy and a distant hoppiness which all evolve into a near perfect mix.		Oh so smooth and pleasant on the palate like liquid candy at first, then some more sublime smokiness, some big malts, black coffee, and some nuanced bitterness which infuses itself at random points. A slight alcohol heat lingers in the throat, and it goes down almost a true medium, but just a little extra weight pulls it toward the full-bodied end of the spectrum. Creamy and not too filling either, as I could have a couple and move onto an IPA or something and not feel too weighted down.		As always with beers of such high ratings you initially wonder if they're a bit over-hyped. I can honestly say this one is an A+, and is the best Imperial Porter I've every tried. From the first smell to the last taste, what a wonderful experience. Future Best of BA we have here folks.";;;;;;;;;;
"12oz. bottle poured a black cherry with a small tan head that leaves a few specks of lace around the glass.		 Smell - like sweet fruit and candy.	 Taste - very malty, mild bitterness with a bit of yeast and alcohol in the finish.	 Feel - medium bodied with some alcohol dryness.	 Drinkability - pretty easy to drink by itself or with a meal but not one I would drink more than a couple of.";;;;;;;;;;
"A delightfully hoppy rye beer, both in aroma and taste. Brilliant reddish amber - in a good way - with pleasant levels of head and carbonation.		Aroma has tropical fruits with resin highlights, while the flavours balance hops against a stiff caramelized rye & malt backbone. The alcohol is dangerously hidden, with little to no burn - just a delightfully bitter finish.		An excellent beer!";;;;;;;;;;
"Served from a bottle into a 20 ounce wine gobblet.		Appearance: This has a very nice pale off amber coloration with loads of particles suspended in the beer. The head is an inch and a half of white foamy goodness. Looks great as the lace plays on the side of the glass.		Smell: A combination of floral, grassy, citrusy goodness.		Taste: A very strong taste of hops and yeasty goodness on the intial taste. The finish is citrus and breadyness.		Mouthfeel/ Drinkability: This is a very drinkable smooth pale ale. Not alot of carbonation to be had. I think I will pour myself another.";;;;;;;;;;
Pint Glass;;Poured a nice thick head and gradually declined. Smells quite strong as far as alchohol content. Bit of a robust barley in it. Tastes like butterscotch flavors. But wow is this beer a kick. It's a nice strong scotch ale thats light on the stomach but a smack in the face. Yeah thats right you're drunk. Very nice scotch I find it to be right up there with warped speed scotch ale.;;;;;;;;
"Custom six pack. Bottling date: 4/25/11.		A & S: very strong aroma; hoppy [(1st) most prominent], caramel, sweet malts, buttery bread (2nd). Up to mid knuckle in frothy light tan colored head. The beer is a good/natural maple syrup color. Good dissipation rate on the head and the lacing clings to the glass very well.		T & M: Moderately complex beer, with a wide range of differences in taste during different times in the sip. At first there is this nice bready taste, a bit spicy, with this sweet malty background to the beer. Then there is a pleasant switch to a finish that is quite bitter, citrus hoppy, and a bit of mint. Medium bodied, and shape carbonation. Very drinkable		O: I thought this beer was pretty awesome for its style. I was suprised that I rated it this high, but I can't find any reason not to. Overall better then Bells Rye beer Golden Rye I think, and even though I havent had Sky High Rye from Arcadia I cant see myself liking that more then this.";;;;;;;;;;
Nice slightly murky amber color. Very appealing foamy head with lots of sticky lacing left behind.;;Aroma is a blend of fruity hops with a slight belgian yeast scent.;;Taste is excellent - leans more towards the IPA side with the bitter & fruity hops dominating the palate.;;Easy to drink and nicely carbonated - I would definitely drink this again.;;;;
"12oz bottle poured into a pint glass. Thanks to thabigmp for this one.		A: Darker orange with a slight red tint. Half finger slightly off white head with OK retention and decent lacing.		S: Mainly citrus and pine hops, with neither dominating. Good caramel malt backbone. Has some slight grassy/earthy/rye notes.		T: Nice caramel upfront. Piney, citrusy hops in the middle with slight earthy notes and a touch of rye. The rye really comes through in the end and aftertaste. Not real bitter or spicy. Well balanced all the way through.		M: Medium bodied. Medium carbonation. Not real crisp or dry or refreshing.		O: Im not a big rye fan but this is a pretty good one. What else would I expect from founders? Drinkable and good but I wouldnt buy it for my tastes.";;;;;;;;;;
"appearance - Black in color, small head here. 		smell - Malt, chocolate, and bourbon. 		taste - Coffee, chocolate, malt, some bourbon present. Cocco		mouthfeel - Medium body. 		drinkability - Decent beer, was a nice sipper I should say. Would try again .";;;;;;;;;;
"12oz bottle poured into Founders pint glass.		A - Dark brown black with a small tan head.		S - Sweet dark roasted malt with some coffee and milk chocolate notes.		T - Strong roasted malt flavor at first, followed by a slight chocolate bitterness. The flavor is quite satisfying, although not very complex. Leaves a lingering roasted malt coffee taste on the tongue.		M - Smooth and creamy. Medium-full body with low carbonation.		D - Delicious and filling. Nice roasted malt flavors. This beer is highly drinkable and well balanced for a porter.";;;;;;;;;;
"12oz. bottled poured into pint glass.		A: Very nice brownish color, not too light. Some floaters. A moderate head with nice lacing.		S: Some of the usual hop notes, citrus, pine, etc. A few breadlike and yeast notes come through.		T: Extremely well balanced. A nice progression of flavors from hop oils and pine up front to solid maltiness in the middle to moderate bitterness at the end. No flavors stand out because everything is melded together so well.		M: Nice body, appropriate level of carbonation and just the right amount of puckering from the bitterness.		D: If I ever found this on tap somewhere I could see drinking my fair share of these.		An all around excellent American IPA. There are some that I like a little better, but Founder's Centennial is a great beer. I am glad this beer will now be available in NJ, I will definitely be buying more of it.";;;;;;;;;;
"This is such a uniquely delicious beer. I've not had many rye beers and have also not been terribly impressed with blended style beers but this is great. 		It pours a golden red with good head that hung around for a little bit, and was back with a few quick swirls. The aroma is a powerful kick of citrus and grapefruit, can't say enough about the aroma that carries through the whole pint. The bitter component is very well balanced with the body of the beer, great finish a little spice to add to the powerful aroma. 		This beer is well worth checking out especially if you typically gravitate to hoppy brews.";;;;;;;;;;
"22oz poured into Glass		A- Black as night, slight tan head but barely anything at all, with a bit of lacing		S- First smell is chocolate with coffee malts, lots of dry roast smell in this		T- Almost same as smell, dark roasted malts with slight coffee oatmeal, little sweetness and bitterness, nothing to overbearing.		M-full body, low carbonation, silky smooth		T- Great beer, not like other imperial stouts, definitely will be having this again.";;;;;;;;;;
"Got the last two four packs at JR liquor in Stevens Point tonight. I have been reading about this beer and needed to try it. The color is a dark amber with hop cone in it. The hop cone is a nice touch and was even small enough to emerge from the bottle into the glass. Nice. There was a three finger head that slowly receeded to a cap on the beer. Lots of lacing as well. 		The smell was good, very descriptive of the taste which was very good. A little sweet but not as syrupy as some DIPAs. I liked that. The mouthfeel was great with a little alcohol burn. I the drinkability was also good, however, I feel like this could get me hammered! All in all a great beer.";;;;;;;;;;
This one ocmes off the tap a hazy peach color with no head. The nise is a nice pungent citrus and pine hop that smells really nice. The taste is full of nice cirtus and pine hop balances with a touch of caramel sweetness. The feel was moderate at best, so a bit thin, but expected. The beer is overall well crafted and easily drinkable. I really like it.;;;;;;;;;;
"Received during our summer beer exchange at work... This was my pick so let's get to reviewing!		Appearance: Pours into a tulip with a beautiful rich mahogany ruby color and about 2 fingers of tan head that recedes way too quickly. It definitely sounds carbonated from two feet away, and the color of this beer is frickin' fantastic!		Smell: This beer smells delicious. Right off the bat, I pick up notes of raisins, grapes, cherries, oats, and a bit of biscuity malts and a wee bit of peat as well. There are some caramel and vanilla notes as well, but as you'll notice from my first three scents, this is a very sweet smelling brew. Not cloyingly so, but it smells like a scotch ale should and that gets good marks in my book.		Taste: This is beer provides for a very interesting mlange of flavors. Definitely picking up the sweeter notes from the cherries and raisins. Can get a lot more of the biscuit and toasted malts that were in the nose. And I also get a little bit more of the peat that I picked up at the beginning. It's not enough to make me think of any comparisons to Scottish whiskeys, but it's enough that I can see the influence.		Mouthfeel: A past reviewer described this beer as chewy, and I can't think of a more apt descriptor than that. The first few sips almost coat the tongue, and invite the imbiber to gnaw on the different flavors offered up therein. The aftertaste is almost as good if not better than the start because of how smoothly this brew makes its way down to your stomach. It's like molasses syrup that just begs you to take another sip.		Drinkability: The higher ABV of this brew is certainly present, but this is more than made up for by the overall mouthfeel and drinkability of this concoction. Founders has done a remarkable job capturing the Scotch Ale/Wee Heavy style, and I will most assuredly be drinking more of this from time to time.";;;;;;;;;;
"Reviewed with Speedwayjim.		Appearance: Jet black with 1 finger of chocolate colored head, motor oil thick, the head dissipates rather quickly. 		Smell: Roasted dark chocolate and coffee.		Taste: Opens with a rich dark chocolate and roasted coffee. Strong malt backbone as the two flavors revolve around as the bourbon shows it face at the finish with a breif hint of licorice and vanilla.		Mouthfeel: Medium Bodied, medium carbonation and smooth throughout.		Drinkability: I would definitely have this again and I would definitely recommend this to those who enjoy the Breakfast stout but better, maltier and richer in flavor.";;;;;;;;;;
"Thanks to DarthKostrizer for letting get a piece of this amazing treat. 	Pitch black. Rich, oily, glass coating viscosity. Amazing foamy light brown head with the best retention I've ever seen on a beer. It lasts pretty much forever if you move the glass which inevitable. 		Very nice nose full of chocolate brownie, light coffe and maple syrup. 		Flavor is stupid good. Amazing balance, very easy to drink. Lovely smoky-maple, rich but not overly sweet chocolate brownie or more like a flourless chocolate cake and nice balanced coffee notes make up the flavor characteristics. 		The mouthfeel has a wonderful velvetty and creamy viscosity that's coats the palate perfectly. Full bodied with low carbonation. 		Overall it's one beer that absolutely lives up to the hype. A very well made stout I'd love to get some more of. Can't wait to try it again.";;;;;;;;;;
"Pours a moderate brown with small creamy head.		The smell contains dominant notes of whiskey. I wish I knew more about whiskey so maybe I could identify the barrels they used. The taste is extremely smoky, and the whiskey taste is very strong. This beer has some intense flavors. This beer reminds of drinking whiskey and smoking a cigar. Pretty pleasant sensations. Extremley smoky.		We'll see if this taste gets old or not, but overall this is a very interesting beer.";;;;;;;;;;
Very nice looking stout. Thick black color with a creamy dark tan head. The nose has some rich fruity malts, chocolate and sweet oats. The taste is a bit more complex. Lots of big sweet flavors with a good helping of subtle hops. Full body goes down well. A nice stout from Stoudt's.;;;;;;;;;;
Picked up a single at Abe's Cold Beer for $3 a couple months back. Poured pitch black with a tall light brown head. Man, this is pretty bitter. It's also a little more drinkable, which I also like from the big stouts. The beer tastes like extra thick dark chocolate cake, like flourless cake. There's a also a slightly tangy citrus bitterness, that while you can feel, struggles to overcome the massive dark malts on your tongue. Overall a fine RIS and certainly worth my three buck.;;;;;;;;;;
"I am floored by this beer every time I have it. Big flavor, unique mouthfeel ... great stuff.		Reddish brown color with the body carrying a fine haze. Excellent head retention.		The aroma gives you what you would expect - hops and rye ... they unite beautifully to make a nice piny/floral scent that hints at spiciness (as in rye spiciness, not nutmeg spiciness).		Huge bitterness on the tongue and pleasant dryness in the back of the throat. Taking big sips of this beer is quite a sensation. The spiciness might even make my send signals to my brain of the sourness of a pickle or mustard. I certainly wouldn't call this beer sour, but it makes you dream of the salty/sour elements of a Reuben sandwich.		It is an awesome hop-bomb that I could drink all day, any time of the year.";;;;;;;;;;
"Appearance: Mahogany with a deep, burnt orange hue. Active carbonation. Loose tan head with fair retention. Collar throughout. No lace.		Smell: Booming, massive, amazing aroma of wood smoke and cured meat. Thick, sweet, slightly tangy malt comes to the fore as the smoke clears. If everything smelled like this, the world would be a better place.		Taste/Mouthfeel: In a word, fantastic. The mouthfeel is pretty light, but still manages to be a bit chewy. Starts with a sweet mouthful of malt, with perhaps a hint of unsweetened chocolate. This, not surprisingly, is soon overtaken by a dee-licious flavor of smoked meat and fragrant, sweet wood smoke. Finish intermingles flavors into a mouthwatering mouthful of Carolina honey-smoked ribmeat. Slight bitterness lingers.		Drinkability: Perfect--if you're in the mood for a smoky flavor. Probably a bit much as a session, but light, huge flavor, great mouthfeel and so, so satisfying. A meal and a drink beside a nice fire--in a glass.		Note: I also sampled their marzen. While slightly lighter and a bit less sweet overall, the two taste so similar I saw no reason to review it. Either will do nicely.";;;;;;;;;;
"Appearance:		 My Glencairn tasting glass was a perfect fit for this job. I pulled the cap off this heavy ale and was greeted with a slight wisp of carbonation gasses. On the pour I went slowly and was left with a thin creamy head. When I hold my glass up to the light there is an array of deep brown and ruby-plum like colors that are pristine and clear. On the viscosity check I gave a generous swirl and noticed a healthy amount of legs sliding down my glass walls ever so slowly.		Aroma:		Wow, this is a huge punch in the face from the bourbon barrel. Initially all I can get is a huge amount of booze and oak from the barrel but as I let this warm up a little bit a load of caramel soaked raisins and burnt brown sugar are pushing through. I am having a hard time trying to pull out any Belgian notes but hey, the barrel is strong on the nose in this one. In the back end some fig flavors are rounding it out and even a slight pipe tobacco aroma.		Taste:		I have to admit this is one of the most interesting variations I have ever had for the style, but I like it! Right off the start there is a huge kick from the bourbon but it is so much more complex than that. Vanilla, plums, figs, and bready malt is huge in the base. Smooth and warming on the palate and is reminding me of banana foster with some toasted marshmallow. I can see how some people might find this to be a little too sweet for their palate but this is right up my alley on this cold night. In the finish, a hint of bubblegum is poking through which is definitely a component of that Belgian yeast.		Drinkability:		Overall this was one killer barley wine! The only thing Im a little upset about is that this was my only bottle. This is a true sipping ale, and I must admit Im glad that I lit a fire right before I started this one because they seem to go hand in hand on a cold snowy night like tonight. If you come across this one or have the opportunity to trade for it by all means go for it, because not only is it a limited release, it is fantastic for the style. Well until next time.";;;;;;;;;;
"Appearance: Doesn't reveal anything different from many other wheat beers, hazy gold body, several inches of head after a carefree pour into appropriate glassware.		Smell: Peaches. Very impressive, but still a little fake smelling, the wheat is also present, in the background. Like a summer fruit beer should.		Taste: A nice balance between the this beers two parents, peach and wheat. The peach is not overdone, yet not subtle, easily drinkable. The wheat provides a nice graininess. I like it a lot, if only it weren't 50 degrees in April here.		Mouthfeel: Very smooth, carbonation reveals itelf only on the swallow. not bad.		Drinkability: I may have to get a 6 pack and save it for when it is 95 degrees and 95% humidity outside.";;;;;;;;;;
